URN,QCSI,QDataInput,QSamPrep,Qextraction,Qvalidation
436,4467.67596,279.92469,1033.1731,214.59857,1148.83272
437,4264.35767,242.2451,1075.34003,165.53197,1151.43181
438,4248.94058,242.60051,1048.39667,187.65521,1149.9233
439,4234.4277,217.29334,1097.46327,148.68173,1152.73696
440,4266.06596,180.67486,1114.31351,119.44423,1153.88857
441,4217.58535,174.72923,1143.55101,106.43802,1155.48061
442,4182.04202,158.03238,1156.55722,80.06942,1157.02478
443,4029.19918,129.16428,1182.92582,62.51263,1158.87541
444,3840.21915,111.55739,1200.48261,43.22265,1160.21847
445,3789.67244,92.86274,1219.77259,21.74977,1161.2276
446,3730.80388,65.67087,1241.24547,2933.9992,0
447,3703.969,58.54361,5168.99604,2914.15288,1.64693
448,3624.7248,28.40462,5188.84236,2885.83319,2.68326
449,3643.38542,418.50463,3792.11717,2867.88339,4.38691
450,3558.34998,414.09158,3810.06697,2844.01673,6.22326
451,3581.67139,388.15508,3833.93363,2829.48316,7.92657
452,4390.35899,346.00446,3868.00327,2790.78426,11.3297
453,4305.95429,355.16094,3848.4672,2809.94709,9.34637
454,4315.82547,319.27243,3887.1661,2774.04444,12.64873
455,3905.59635,299.38354,3903.90592,2755.34339,14.54894
456,3901.42521,288.01074,3922.60697,2727.15283,15.68245
457,3669.83023,258.14465,3950.79753,2701.5893,16.93805
458,3641.50966,242.10142,3976.36106,2676.98987,18.42488
459,3641.35246,229.95426,4000.96049,2658.63578,19.637
460,3625.96464,193.21144,4019.31458,2645.03403,20.89662
461,3516.19646,186.4161,4032.91633,2629.82922,22.62638
462,3475.52814,176.37468,4048.12114,2609.81924,23.75568
463,3504.25072,123.25254,4090.94525,2557.13317,26.73916
464,3384.13048,129.50108,4068.13112,2587.00511,24.80693
